X,Y,Z,user
-0.031125,0.031125,9.991004,1
-0.040701,0.019154,9.955091,1
-0.038307,0.021548,9.97185,1
-0.035913,0.023942,9.964667,1
-0.047884,0.023942,9.974244,1
-0.040701,0.02873,9.97185,1
-0.035913,0.021548,9.983821,1
-0.055067,0.019154,9.97185,1
-0.038307,0.016759,9.979033,1
-0.050278,0.023942,9.969456,1
-0.04549,0.021548,9.986216,1
-0.043096,0.02873,9.981427,1
-0.043096,0.016759,9.976639,1
-0.047884,0.026336,9.988609,1
-0.052672,0.031125,9.976639,1
-0.059855,0.011971,9.981427,1
-0.043096,0.002394,9.979033,1
-0.023942,0.023942,9.976639,1
-0.033519,0.031125,9.97185,1
-0.04549,0.016759,9.979033,1
-0.050278,0.023942,9.976639,1
-0.052672,0.02873,9.979033,1
-0.050278,0.02873,9.981427,1
-0.033519,0.02873,9.974244,1
-0.033519,0.016759,9.969456,1
-0.031125,0.023942,9.981427,1
-0.031125,0.031125,9.981427,1
-0.040701,0.026336,9.974244,1
-0.043096,0.026336,9.976639,1
-0.050278,0.026336,9.967062,1
-0.052672,0.038307,9.979033,1
-0.04549,0.019154,9.983821,1
-0.047884,0.021548,9.981427,1
-0.04549,0.014365,9.976639,1
-0.040701,0.019154,9.976639,1
-0.043096,0.02873,9.983821,1
-0.055067,0.011971,9.974244,1
-0.052672,0.016759,9.97185,1
-0.040701,-0.002394,9.979033,1
-0.04549,0.023942,9.964667,1
-0.055067,0.026336,9.979033,1
-0.059855,0.019154,9.979033,1
-0.050278,0.019154,9.981427,1
-0.047884,0.021548,9.974244,1
-0.050278,0.02873,9.976639,1
-0.04549,0.023942,9.97185,1
-0.040701,0.021548,9.962274,1
-0.038307,0.014365,9.97185,1
-0.038307,0.023942,9.964667,1
-0.04549,0.016759,9.991004,1
-0.047884,0.035913,9.981427,1
-0.050278,0.023942,9.979033,1
-0.052672,0.021548,9.964667,1
-0.040701,0.016759,9.969456,1
-0.02873,0.021548,9.976639,1
-0.040701,0.016759,9.969456,1
-0.040701,0.02873,9.964667,1
-0.047884,0.016759,9.97185,1
-0.050278,0.021548,9.97185,1
-0.047884,0.023942,9.967062,1
-0.050278,0.016759,9.967062,1
-0.043096,0.009577,9.957485,1
-0.047884,0.014365,9.962274,1
-0.050278,0.019154,9.969456,1
-0.040701,0.02873,9.964667,1
-0.035913,0.021548,9.959879,1
-0.038307,0.019154,9.97185,1
-0.047884,0.02873,9.969456,1
-0.050278,0.02873,9.974244,1
-0.047884,0.021548,9.967062,1
-0.040701,0.023942,9.97185,1
-0.047884,0.021548,9.974244,1
-0.031125,0.02873,9.955091,1
-0.038307,0.021548,9.97185,1
-0.04549,0.023942,9.974244,1
-0.04549,0.021548,9.974244,1
-0.04549,0.021548,9.976639,1
-0.04549,0.021548,9.979033,1
-0.047884,0.019154,9.979033,1
-0.047884,0.023942,9.97185,1
-0.050278,0.035913,9.97185,1
-0.043096,0.014365,9.983821,1
-0.040701,0.021548,9.964667,1
-0.050278,0.023942,9.983821,1
-0.04549,0.011971,9.940725,1
-0.04549,0.023942,10.000581,1
-0.040701,0.021548,10.036493,1
-0.040701,0.014365,9.967062,1
-0.050278,0.016759,9.988609,1
-0.04549,0.019154,9.981427,1
-0.038307,0.031125,9.979033,1
-0.047884,0.019154,9.967062,1
-0.033519,0.02873,9.983821,1
-0.047884,0.026336,9.974244,1
-0.052672,0.026336,9.97185,1
-0.043096,0.016759,9.979033,1
